periodo_parlamentario,periodo_anual,legislatura,descripcion,clean_link,file_name
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones PROVISIONALES de la sesión del,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/0B508771922063BE05258D5100012FFB/$FILE/Asis_y_vot_del_28-11-2025.pdf,5cf32dc4-deb9-5f71-b7a7-99e42bfbc636.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencia PROVISIONAL de la sesión del 26-11-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/78DED07A01771F1F05258D4E007C081B/$FILE/Asis_y_vot_del_26-11-2025.pdf,8d109880-dacd-51ad-8df6-21d26a7cdc84.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencia PROVISIONAL de la sesión del 25-11-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C95998C23D0C8E5705258D4D007FC991/$FILE/Asis_y_vot_del_25-11-2025.pdf,43d3df91-4f2c-583c-89b8-33d5ed03c29f.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones PROVISIONALES de la sesión del 20-11-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/90DBC04D7106C97705258D4800654493/$FILE/Asis_y_vot_del_20-11-2025.pdf,933bc37f-dd36-5db5-9246-f12b63789d6a.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones PROVISIONALES de la sesión del 19-11-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/FD64B94EA16C977005258D470078D674/$FILE/Asis_y_vot_del_19-11-2025.pdf,7a4d2be1-4782-5fbb-8072-5388f8c45e1a.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones PROVISIONALES de la sesión del 6-11-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/B73D5FDF1BE3DBEB05258D3A0061FEF8/$FILE/Asis_y_vot_del_6-11-2025.pdf,1143d277-5302-5a3a-acba-1ca4df37eaad.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones PROVISIONALES de la sesión del 5-11-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1F62EB4B27B3C26C05258D39007A84D8/$FILE/Asis_y_vot_del_5-11-2025.pdf,14a831da-1f47-5405-9e36-0db23c61960e.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones PROVISIONALES de la sesión del 23-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/6F57D314FE6D46CC05258D2C005F2DD0/$FILE/Asis_y_vot_del_23-10-2025.pdf,a90ab077-a704-539b-96fc-d6fc91df3dbd.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votación de la sesión del 22-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1D95BAD75764116E05258D2C00081C52/$FILE/Asis_y_vot_del_22-10-2025.pdf,cf308459-8db8-5e34-9352-4c63b559b756.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votación de la sesión del 16-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F959FA145412595605258D250064D8D1/$FILE/Asis_y_vot_del_16-10-2025.pdf,ae5c634a-26b6-5ac8-9544-60ae0df44e61.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 10-10-2025 (Sesión solemne),https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/7BB69E68B23565C105258D1F00232625/$FILE/Asis_y_vot_del_10-10-2025.pdf,aaf8f003-a271-5ca0-a259-5ceca4de110b.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 9-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A11DBDA777EF9E1605258D1E0060DBC5/$FILE/Asis_y_vot_del_9-10-2025.pdf,188f59f9-9657-5b53-9e09-5f876d8177f5.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 9-10-2025 (Sesión vespertina),https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CCB5E6E9413CC79205258D1F00136975/$FILE/Asis_y_vot_del_9-10-2025_nocturna.pdf,8a7fe53a-c811-51d7-a1df-a37b41d08899.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencia de la sesión del 7-10-2025 (Sesión solemne),https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/4F9EBA29318F29E505258D1C007DB27E/$FILE/Asis_y_vot_del_7-10-2025.pdf,545ea1a4-83f0-5dd6-ab13-855b5e9600d8.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 2-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/E3565D428E951EE505258D17006D4C82/$FILE/Asis_y_vot_del_2-10-2025.pdf,bb932792-fdd9-5bc9-a567-5dfe87b73d58.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 1-10-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F05737FD24BE5CC405258D160080AEE6/$FILE/Asis_y_vot_del_1-10-2025.pdf,7f101178-34e5-59e7-a71e-81fc62a9a2b3.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 30-9-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/2F4E18492E371F1005258D1500820D8F/$FILE/Asis_y_vot_del_30-9-2025.pdf,bdce9c4a-c601-51e3-8f1d-49a4d68df701.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencia de la sesión del 18-9-2025 (Sesión solemne),https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/99DBDB8DE74E95E805258D090071020F/$FILE/Asis_sesión_solemne_18-9-2025.pdf,70925023-1907-5706-afe5-731d87166b69.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencias y votaciones de la sesión del 17-9-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/622E4C2833032FD505258D09000087C5/$FILE/Asis_y_vot_del_17-9-2025.pdf,8415ba8d-c438-51d4-b25a-837c360a78ac.pdf
